Headword,Tag,Ending,Count,Percent
leten,v%pr_3,-t,2,100.00%
leten,v%pr_2,-te,1,100.00%
arisen,v%pr_3,-eth,1,100.00%
arisen,v%pt_3,other,2,100.00%
arisen,v%imp,-eth,1,100.00%
arisen,v%inf,-e,14,100.00%
arisen,v%pr_pl,-e,2,100.00%
avisen,v%pr_3,-eth,2,100.00%
avisen,v%inf,-e,12,100.00%
avisen,v%pr_pl,-e,2,100.00%
avisen,v%ppl,-ed,7,100.00%
avisen,v%imp,-eth,5,71.43%
avisen,v%imp,-e,2,28.57%
avisen,v%ppl_abs,-ed,4,100.00%
avisen,v%pr_2,-e,1,100.00%
avisen,v%pr_1,-e,2,100.00%
avisen,v%prp_abs,-e,1,100.00%
gon,v%pr_3,other,83,86.46%
gon,v%pr_3,vowel,12,12.50%
gon,v%pr_3,-eth,1,1.04%
gon,v%inf,other,108,44.63%
gon,v%inf,vowel,134,55.37%
gon,v%imp,other,11,21.15%
gon,v%imp,vowel,41,78.85%
gon,v%pr_pl,vowel,20,37.74%
gon,v%pr_pl,other,33,62.26%
gon,v%ppl,other,44,84.62%
gon,v%ppl,vowel,7,13.46%
gon,v%ppl,-en,1,1.92%
gon,v%pr_1,vowel,21,100.00%
gon,v%pr_2,-t,3,60.00%
gon,v%pr_2,vowel,2,40.00%
gon,v%ppl_abs,other,3,75.00%
gon,v%ppl_abs,vowel,1,25.00%
gon,v%prp_abs,-e,2,100.00%
rekenen,v%inf,-e,6,100.00%
rekenen,v%ppl,-ed,1,100.00%
rekenen,v%pr_3,-e,1,100.00%
stonden,v%pt_3,-d,62,100.00%
stonden,v%pr_3,-t,18,66.67%
stonden,v%pr_3,-eth,9,33.33%
stonden,v%inf,-de,26,78.79%
stonden,v%inf,-en,7,21.21%
stonden,v%pr_2,-t,2,100.00%
stonden,v%prp_abs,-e,1,100.00%
stonden,v%imp,-eth,1,16.67%
stonden,v%imp,-t,1,16.67%
stonden,v%imp,-d,4,66.67%
stonden,v%pt_pl,-de,1,25.00%
stonden,v%pt_pl,-en,3,75.00%
stonden,v%pt_1,-d,3,100.00%
stonden,v%pr_pl,-de,1,50.00%
stonden,v%pr_pl,-en,1,50.00%
stonden,v%pr_1,-de,2,100.00%
encresen,v%ppl,-ed,1,100.00%
encresen,v%pr_3,-e,2,50.00%
encresen,v%pr_3,-eth,2,50.00%
encresen,v%inf,-en,2,25.00%
encresen,v%inf,-e,6,75.00%
encresen,v%pr_pl,-en,1,100.00%
leien,v%pr_3,other,5,100.00%
leien,v%inf,other,1,5.88%
leien,v%inf,-e,16,94.12%
leien,v%pt_pl,-de,1,50.00%
leien,v%pt_pl,-en,1,50.00%
leien,v%ppl,-d,8,100.00%
leien,v%pt_3,-de,24,100.00%
leien,v%imp,-e,1,33.33%
leien,v%imp,other,2,66.67%
leien,v%pr_pl,-e,1,50.00%
leien,v%pr_pl,other,1,50.00%
leien,v%pr_1,-e,2,100.00%
leien,v%pt_1,-de,1,100.00%
shitten,v%pt_3,-te,11,100.00%
shitten,v%inf,-te,2,66.67%
shitten,v%inf,-en,1,33.33%
shitten,v%imp,-te,1,100.00%
shitten,v%ppl,-te,1,50.00%
shitten,v%ppl,-et,1,50.00%
shitten,v%ppl_abs,-te,1,100.00%
shitten,v%pt_pl,-en,1,50.00%
shitten,v%pt_pl,-te,1,50.00%
willen,v%pt_3_neg,-de,27,96.43%
willen,v%pt_3_neg,vowel,1,3.57%
willen,v%pt_pl,-de,44,74.58%
willen,v%pt_pl,-en,15,25.42%
willen,v%pr_1,other,266,96.03%
willen,v%pr_1,-e,7,2.53%
willen,v%pr_1,-t,4,1.44%
willen,v%pr_pl,other,96,84.96%
willen,v%pr_pl,-e,16,14.16%
willen,v%pr_pl,-en,1,0.88%
willen,v%pt_3,-de,266,98.88%
willen,v%pt_3,-d,2,0.74%
willen,v%pt_3,-e,1,0.37%
willen,v%pt_1,-de,44,100.00%
willen,v%pr_3,other,201,92.20%
willen,v%pr_3,-e,16,7.34%
willen,v%pr_3,-eth,1,0.46%
willen,v%pr_pl_neg,other,3,100.00%
willen,v%pt_1_neg,-de,10,100.00%
willen,v%pr_3_neg,other,26,100.00%
willen,v%pr_2_neg,-t,4,100.00%
willen,v%pt_2,-t,12,100.00%
willen,v%ppl,-d,1,100.00%
willen,v%pr_2,-t,40,95.24%
willen,v%pr_2,other,2,4.76%
willen,v%pr_1_neg,-e,1,4.55%
willen,v%pr_1_neg,other,21,95.45%
willen,v%pr_2_pron,other,15,100.00%
willen,v%pt_pl_neg,-de,5,83.33%
willen,v%pt_pl_neg,-en,1,16.67%
willen,v%pr_2_neg_pron,other,6,100.00%
