Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,slen,v%imp,-e,1,100.00%
TC4_gui_complete.csv,slen,v%pr_pl,-e,1,100.00%
TC4_gui_complete.csv,losen,v%ppl,-t,5,100.00%
TC4_gui_complete.csv,losen,v%pt_3,-te,1,100.00%
TC4_gui_complete.csv,losen,v2#adj%ppl,-t,1,100.00%
TC4_gui_complete.csv,erren,v%pr_2,-est,1,100.00%
TC4_gui_complete.csv,flien,v%imp,-e,1,100.00%
TC4_gui_complete.csv,flien,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,stonden,v%inf,-en,1,100.00%
TC4_gui_complete.csv,stonden,v%pt_3,-d,1,100.00%
TC4_gui_complete.csv,stonden,v%pr_3,-t,3,100.00%
TC4_gui_complete.csv,quenchen,v%ppl,-t,2,100.00%
TC4_gui_complete.csv,formen,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,formen,v%ppl_abs,-ed,1,100.00%
TC4_gui_complete.csv,leven,v%pr_3,-e,1,100.00%
TC4_gui_complete.csv,leven,v%imp,-e,1,33.33%
TC4_gui_complete.csv,leven,v%imp,other,2,66.67%
TC4_gui_complete.csv,leven,v%ppl,-t,1,100.00%
TC4_gui_complete.csv,leven,v%inf,-en,1,100.00%
TC4_gui_complete.csv,remembren,v%imp,-eth,1,100.00%
TC4_gui_complete.csv,resten,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,misliven,v#adj%ppl,-ed,1,100.00%
TC4_gui_complete.csv,beren,v%ppl,-n,2,100.00%
TC4_gui_complete.csv,beren,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,beren,v%inf,-en,1,100.00%
TC4_gui_complete.csv,beren,v%imp,other,1,100.00%
TC4_gui_complete.csv,medlen,v%ppl_abs,-ed,1,100.00%
TC4_gui_complete.csv,waxen,v%pt_3,other,1,100.00%
TC4_gui_complete.csv,felen,v%pr_3,-eth,2,100.00%
TC4_gui_complete.csv,felen,v%inf,-e,1,100.00%
TC4_gui_complete.csv,felen,v%ppl,-ed,1,100.00%
