headword,classification,notes,evidence,total_occurrences
plien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_pl(-e:2),6
plukken,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:2),4
polishen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:4),4
posen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:6),6
poupen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pt_pl(-ed:2),4
prauncen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
preferren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2(-e:2),2
prenten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
preparaten,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-t:2),2
presenten,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:7, -t:1); v%ppl(-ed:2); v%pr_3(-eth:2)",12
presumen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pt_pl(-ed:2),4
pretenden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
prien,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:9, -en:2, vowel:1)",12
priven,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:1),1
proceden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:8); v%pr_pl(-e:4, -en:2)",14
profiten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
proinen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
prollen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
proporciounen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
puffen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
puren,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:4),4
purposen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pr_pl(-en:2); v%prp_abs(-e:2),6
pushen,unknown,"classified by morphological evidence on January 27, 2026","v%ppl_abs(-ed:2); v%pr_3(-eth:1, other:1)",4
quappen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
queken,unknown,"classified by morphological evidence on January 27, 2026","v%pr_pl(other:2, -e:1)",3
quellen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_pl(-e:2),6
quemen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-en:2),4
ragen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
